Gmt time,Open,High,Low,Close,Volume
01.06.2020 00:00:00.000,1.11158,1.11263,1.11130,1.11219,11228.249999999996
01.06.2020 01:00:00.000,1.11219,1.11405,1.11167,1.11343,14223.720000000003
01.06.2020 02:00:00.000,1.11343,1.11404,1.11302,1.11375,7452.760000000002
01.06.2020 03:00:00.000,1.11374,1.11385,1.11327,1.11331,5388.71
01.06.2020 04:00:00.000,1.11330,1.11383,1.11329,1.11338,4730.850000000001
01.06.2020 05:00:00.000,1.11336,1.11427,1.11307,1.11400,7508.139999999999
01.06.2020 06:00:00.000,1.11399,1.11506,1.11353,1.11373,11775.300000000001
01.06.2020 07:00:00.000,1.11372,1.11541,1.11321,1.11490,19987.66
01.06.2020 08:00:00.000,1.11492,1.11492,1.11165,1.11397,28069.2
01.06.2020 09:00:00.000,1.11398,1.11414,1.11078,1.11142,15602.820000000003
01.06.2020 10:00:00.000,1.11142,1.11166,1.11007,1.11061,15237.410000000007
01.06.2020 11:00:00.000,1.11061,1.11206,1.11059,1.11120,12783.829999999998
01.06.2020 12:00:00.000,1.11121,1.11210,1.11010,1.11103,15240.099999999999
01.06.2020 13:00:00.000,1.11102,1.11271,1.11037,1.11260,17096.95
01.06.2020 14:00:00.000,1.11259,1.11386,1.11197,1.11373,23820.07
01.06.2020 15:00:00.000,1.11374,1.11406,1.11132,1.11229,17979.970000000005
01.06.2020 16:00:00.000,1.11228,1.11299,1.11194,1.11299,9875.969999999998
01.06.2020 17:00:00.000,1.11299,1.11329,1.11253,1.11295,7200.299999999999
01.06.2020 18:00:00.000,1.11296,1.11331,1.11228,1.11327,7299.660000000002
01.06.2020 19:00:00.000,1.11327,1.11364,1.11292,1.11354,6502.759999999999
01.06.2020 20:00:00.000,1.11353,1.11365,1.11311,1.11357,1621.1900000000005
01.06.2020 21:00:00.000,1.11366,1.11367,1.11312,1.11325,1228.4
01.06.2020 22:00:00.000,1.11325,1.11358,1.11314,1.11326,1758.1250000000005
01.06.2020 23:00:00.000,1.11327,1.11327,1.11242,1.11255,3646.6099999999997
02.06.2020 00:00:00.000,1.11255,1.11386,1.11248,1.11321,9086.91
02.06.2020 01:00:00.000,1.11321,1.11334,1.11236,1.11261,7400.719999999998
02.06.2020 02:00:00.000,1.11259,1.11265,1.11192,1.11243,6622.249999999999
02.06.2020 03:00:00.000,1.11242,1.11273,1.11233,1.11269,3852.8200000000006
02.06.2020 04:00:00.000,1.11270,1.11278,1.11236,1.11258,4442.18
02.06.2020 05:00:00.000,1.11258,1.11378,1.11248,1.11339,8318.83
02.06.2020 06:00:00.000,1.11341,1.11382,1.11153,1.11187,14669.240000000003
02.06.2020 07:00:00.000,1.11186,1.11371,1.11166,1.11279,24089.76
02.06.2020 08:00:00.000,1.11281,1.11714,1.11235,1.11706,29662.840000000004
02.06.2020 09:00:00.000,1.11705,1.11880,1.11704,1.11804,25303.7
02.06.2020 10:00:00.000,1.11805,1.11812,1.11646,1.11687,20908.599999999995
02.06.2020 11:00:00.000,1.11687,1.11703,1.11548,1.11692,16573.839999999997
02.06.2020 12:00:00.000,1.11694,1.11795,1.11573,1.11653,21471.850000000002
02.06.2020 13:00:00.000,1.11651,1.11892,1.11635,1.11892,23211.490000000005
02.06.2020 14:00:00.000,1.11892,1.11962,1.11754,1.11837,27797.420000000006
02.06.2020 15:00:00.000,1.11838,1.11883,1.11643,1.11660,20270.03999999999
02.06.2020 16:00:00.000,1.11660,1.11839,1.11639,1.11742,11029.460000000005
02.06.2020 17:00:00.000,1.11743,1.11815,1.11642,1.11709,8829.229999999998
02.06.2020 18:00:00.000,1.11708,1.11748,1.11655,1.11723,7356.079999999998
02.06.2020 19:00:00.000,1.11724,1.11735,1.11613,1.11654,7897.040000000001
02.06.2020 20:00:00.000,1.11654,1.11716,1.11632,1.11711,1983.6400000000003
02.06.2020 21:00:00.000,1.11711,1.11729,1.11692,1.11710,857.7782000000002
02.06.2020 22:00:00.000,1.11704,1.11746,1.11670,1.11735,2291.440000000001
02.06.2020 23:00:00.000,1.11735,1.11876,1.11694,1.11855,5695.869999999998
03.06.2020 00:00:00.000,1.11855,1.12015,1.11800,1.11931,8220.840000000002
03.06.2020 01:00:00.000,1.11932,1.12010,1.11860,1.11881,9976.360000000002
03.06.2020 02:00:00.000,1.11881,1.11970,1.11829,1.11957,7255.030000000001
03.06.2020 03:00:00.000,1.11955,1.12112,1.11940,1.12080,7620.200000000003
03.06.2020 04:00:00.000,1.12079,1.12094,1.12025,1.12034,4410.1900000000005
03.06.2020 05:00:00.000,1.12032,1.12122,1.11998,1.12042,4611.780000000001
03.06.2020 06:00:00.000,1.12043,1.12141,1.12032,1.12094,9124.54
03.06.2020 07:00:00.000,1.12094,1.12279,1.12062,1.12167,17490.649999999998
03.06.2020 08:00:00.000,1.12166,1.12185,1.11913,1.12109,18006.68999999999
03.06.2020 09:00:00.000,1.12109,1.12270,1.12105,1.12175,13289.059999999998
03.06.2020 10:00:00.000,1.12177,1.12180,1.12001,1.12001,14621.609999999997
03.06.2020 11:00:00.000,1.12001,1.12064,1.11841,1.11946,15281.54
03.06.2020 12:00:00.000,1.11945,1.12101,1.11865,1.11915,15381.849999999997
03.06.2020 13:00:00.000,1.11914,1.12186,1.11867,1.12161,21364.62000000001
03.06.2020 14:00:00.000,1.12159,1.12366,1.12128,1.12169,29140.93
03.06.2020 15:00:00.000,1.12170,1.12515,1.12160,1.12463,18192.189999999995
03.06.2020 16:00:00.000,1.12463,1.12496,1.12342,1.12369,9188.230000000001
03.06.2020 17:00:00.000,1.12368,1.12403,1.12325,1.12401,6113.390000000001
03.06.2020 18:00:00.000,1.12401,1.12432,1.12332,1.12379,6865.940000000001
03.06.2020 19:00:00.000,1.12380,1.12580,1.12357,1.12423,7152.99
03.06.2020 20:00:00.000,1.12424,1.12442,1.12324,1.12339,3367.079999999999
03.06.2020 21:00:00.000,1.12337,1.12387,1.12335,1.12364,1243.71
03.06.2020 22:00:00.000,1.12354,1.12371,1.12299,1.12327,1443.62
03.06.2020 23:00:00.000,1.12327,1.12369,1.12309,1.12354,3673.8499999999995
04.06.2020 00:00:00.000,1.12354,1.12356,1.12137,1.12224,6968.4800000000005
04.06.2020 01:00:00.000,1.12226,1.12250,1.12162,1.12203,5800.250000000001
04.06.2020 02:00:00.000,1.12204,1.12225,1.12145,1.12146,5612.540000000002
04.06.2020 03:00:00.000,1.12146,1.12189,1.12125,1.12168,4773.849999999999
04.06.2020 04:00:00.000,1.12168,1.12185,1.12114,1.12157,4404.15
04.06.2020 05:00:00.000,1.12157,1.12202,1.12137,1.12148,3529.649999999999
04.06.2020 06:00:00.000,1.12148,1.12216,1.12005,1.12121,10331.479999999998
04.06.2020 07:00:00.000,1.12120,1.12129,1.11987,1.12018,13396.410000000002
04.06.2020 08:00:00.000,1.12018,1.12098,1.11948,1.12072,13323.310000000001
04.06.2020 09:00:00.000,1.12069,1.12069,1.11957,1.11998,10437.930000000004
04.06.2020 10:00:00.000,1.11997,1.12110,1.11982,1.12050,9885.77
04.06.2020 11:00:00.000,1.12050,1.12725,1.11954,1.12674,22906.800000000003
04.06.2020 12:00:00.000,1.12674,1.12715,1.12170,1.12379,32984.979999999996
04.06.2020 13:00:00.000,1.12378,1.12741,1.12268,1.12688,29489.149999999994
04.06.2020 14:00:00.000,1.12686,1.13511,1.12666,1.13437,34461.7001
04.06.2020 15:00:00.000,1.13437,1.13625,1.13126,1.13220,24447.490099999988
04.06.2020 16:00:00.000,1.13219,1.13325,1.13182,1.13292,12994.21
04.06.2020 17:00:00.000,1.13293,1.13460,1.13284,1.13444,9485.710000000005
04.06.2020 18:00:00.000,1.13444,1.13620,1.13444,1.13486,10019.629999999996
04.06.2020 19:00:00.000,1.13486,1.13512,1.13295,1.13303,9375.380000000001
04.06.2020 20:00:00.000,1.13304,1.13392,1.13264,1.13392,3017.5699999999997
04.06.2020 21:00:00.000,1.13392,1.13398,1.13350,1.13370,1972.4699999999993
04.06.2020 22:00:00.000,1.13370,1.13435,1.13361,1.13386,2256.92
04.06.2020 23:00:00.000,1.13387,1.13448,1.13356,1.13358,2965.15
05.06.2020 00:00:00.000,1.13359,1.13445,1.13314,1.13327,5930.039999999998
